Year,Major,Gender,Admission
1973,C,F,Rejected
1973,Other,M,Admitted
1973,A,M,Admitted
1973,B,M,Admitted
1973,Other,F,Rejected
1973,F,M,Rejected
1973,Other,F,Admitted
1973,Other,F,Rejected
1973,Other,F,Admitted
1973,Other,M,Admitted
1973,A,M,Rejected
1973,C,F,Rejected
1973,A,M,Admitted
1973,Other,M,Admitted
1973,E,M,Rejected
1973,Other,M,Rejected
1973,Other,F,Rejected
1973,A,M,Admitted
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,D,F,Rejected
1973,A,M,Admitted
1973,Other,M,Admitted
1973,Other,M,Admitted
1973,Other,M,Admitted
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,Other,F,Rejected
1973,Other,F,Admitted
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,Other,F,Admitted
1973,Other,F,Rejected
1973,Other,M,Rejected
1973,D,M,Rejected
1973,B,M,Rejected
1973,F,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,F,F,Rejected
1973,Other,M,Admitted
1973,Other,F,Rejected
1973,Other,M,Admitted
1973,F,F,Rejected
1973,A,M,Admitted
1973,Other,M,Rejected
1973,A,M,Admitted
1973,Other,F,Admitted
1973,Other,F,Admitted
1973,A,M,Admitted
1973,Other,M,Admitted
1973,B,M,Admitted
1973,D,F,Rejected
1973,Other,F,Rejected
1973,Other,F,Rejected
1973,Other,F,Admitted
1973,Other,F,Admitted
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,A,M,Admitted
1973,C,F,Rejected
1973,C,M,Rejected
1973,Other,F,Rejected
1973,Other,F,Rejected
1973,Other,F,Rejected
1973,Other,M,Rejected
1973,C,M,Rejected
1973,A,M,Admitted
1973,Other,M,Admitted
1973,Other,F,Rejected
1973,E,F,Admitted
1973,Other,M,Admitted
1973,Other,M,Admitted
1973,D,M,Rejected
1973,E,F,Rejected
1973,E,F,Rejected
1973,Other,F,Admitted
1973,Other,M,Admitted
1973,Other,F,Admitted
1973,A,M,Admitted
1973,Other,M,Admitted
1973,Other,M,Admitted
1973,A,M,Admitted
1973,Other,F,Admitted
1973,Other,M,Rejected
1973,F,F,Rejected
1973,Other,M,Rejected
1973,Other,F,Admitted
1973,E,M,Rejected
1973,D,M,Rejected
1973,C,F,Rejected
1973,C,F,Rejected
1973,Other,M,Rejected
1973,A,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,Other,M,Admitted
1973,D,M,Rejected
1973,Other,F,Admitted
1973,A,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,Other,F,Admitted
1973,C,F,Admitted
1973,Other,M,Rejected
1973,F,M,Admitted
1973,A,M,Admitted
1973,Other,M,Rejected
1973,D,M,Admitted
1973,E,F,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,C,M,Rejected
1973,Other,M,Admitted
1973,D,F,Rejected
1973,Other,M,Admitted
1973,E,F,Rejected
1973,Other,F,Rejected
1973,Other,M,Rejected
1973,B,M,Admitted
1973,Other,M,Rejected
1973,B,M,Rejected
1973,Other,M,Admitted
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,C,M,Rejected
1973,Other,F,Admitted
1973,Other,M,Admitted
1973,Other,F,Admitted
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,C,F,Rejected
1973,Other,F,Rejected
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,F,M,Rejected
1973,Other,M,Rejected
1973,D,F,Admitted
1973,Other,F,Rejected
1973,C,F,Rejected
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,A,M,Admitted
1973,Other,M,Rejected
1973,B,M,Rejected
1973,B,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,Other,M,Admitted
1973,D,F,Rejected
1973,Other,M,Admitted
1973,Other,F,Rejected
1973,Other,F,Admitted
1973,E,M,Rejected
1973,F,F,Rejected
1973,Other,F,Rejected
1973,Other,F,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,D,M,Rejected
1973,C,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,Other,F,Rejected
1973,Other,F,Admitted
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,Other,M,Admitted
1973,A,M,Admitted
1973,Other,F,Admitted
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,E,F,Rejected
1973,D,F,Rejected
1973,D,F,Rejected
1973,Other,F,Admitted
1973,A,M,Admitted
1973,Other,M,Admitted
1973,D,F,Rejected
1973,D,M,Rejected
1973,C,F,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,B,M,Rejected
1973,Other,M,Admitted
1973,D,M,Admitted
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,Other,F,Rejected
1973,A,F,Rejected
1973,F,F,Rejected
1973,Other,F,Admitted
1973,Other,M,Admitted
1973,Other,F,Admitted
1973,B,M,Rejected
1973,Other,M,Rejected
1973,Other,F,Admitted
1973,Other,M,Rejected
1973,B,M,Admitted
1973,Other,M,Admitted
1973,C,M,Rejected
1973,Other,M,Admitted
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,E,M,Rejected
1973,E,F,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,Other,F,Rejected
1973,Other,M,Rejected
1973,A,M,Admitted
1973,B,M,Rejected
1973,B,M,Admitted
1973,Other,F,Rejected
1973,F,F,Rejected
1973,Other,M,Admitted
1973,Other,M,Admitted
1973,Other,F,Admitted
1973,A,M,Admitted
1973,Other,F,Rejected
1973,F,M,Rejected
1973,Other,M,Admitted
1973,A,M,Rejected
1973,A,F,Admitted
1973,E,F,Rejected
1973,E,F,Rejected
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,Other,F,Rejected
1973,B,M,Admitted
1973,Other,F,Admitted
1973,F,F,Rejected
1973,Other,F,Admitted
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,A,M,Admitted
1973,F,M,Rejected
1973,E,F,Rejected
1973,Other,F,Rejected
1973,Other,F,Rejected
1973,F,F,Rejected
1973,Other,M,Admitted
1973,Other,F,Admitted
1973,Other,M,Admitted
1973,A,F,Rejected
1973,F,M,Rejected
1973,Other,M,Admitted
1973,Other,F,Rejected
1973,B,M,Admitted
1973,D,F,Rejected
1973,Other,F,Rejected
1973,E,F,Admitted
1973,C,F,Rejected
1973,Other,M,Rejected
1973,Other,F,Admitted
1973,A,F,Admitted
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,A,M,Admitted
1973,Other,M,Rejected
1973,Other,F,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,A,M,Rejected
1973,Other,M,Rejected
1973,D,M,Rejected
1973,D,M,Rejected
1973,Other,M,Rejected
1973,C,M,Admitted
1973,D,F,Rejected
1973,Other,M,Rejected
1973,Other,F,Rejected
1973,Other,F,Rejected
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,Other,F,Rejected
1973,D,F,Rejected
1973,Other,M,Rejected
1973,A,M,Rejected
1973,Other,F,Rejected
1973,Other,F,Rejected
1973,C,F,Rejected
1973,Other,F,Admitted
1973,Other,F,Admitted
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,D,F,Admitted
1973,Other,F,Rejected
1973,D,F,Admitted
1973,Other,M,Admitted
1973,Other,F,Rejected
1973,Other,M,Admitted
1973,F,F,Rejected
1973,A,M,Admitted
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,C,F,Admitted
1973,Other,M,Rejected
1973,E,F,Rejected
1973,A,M,Admitted
1973,Other,M,Admitted
1973,C,F,Rejected
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,F,M,Rejected
1973,Other,M,Rejected
1973,E,F,Rejected
1973,Other,M,Rejected
1973,E,F,Rejected
1973,Other,F,Admitted
1973,Other,M,Admitted
1973,A,M,Rejected
1973,Other,M,Admitted
1973,Other,F,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,A,M,Admitted
1973,Other,F,Admitted
1973,Other,M,Admitted
1973,C,F,Rejected
1973,Other,F,Admitted
1973,Other,M,Rejected
1973,D,M,Admitted
1973,F,F,Rejected
1973,B,M,Rejected
1973,C,M,Admitted
1973,F,F,Rejected
1973,Other,F,Rejected
1973,Other,M,Admitted
1973,Other,F,Rejected
1973,Other,M,Admitted
1973,C,M,Rejected
1973,Other,F,Admitted
1973,Other,M,Rejected
1973,Other,F,Admitted
1973,Other,M,Rejected
1973,Other,F,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,Other,F,Rejected
1973,A,M,Admitted
1973,A,M,Admitted
1973,Other,M,Rejected
1973,B,M,Admitted
1973,Other,M,Rejected
1973,D,F,Rejected
1973,C,M,Rejected
1973,A,M,Rejected
1973,A,M,Rejected
1973,B,M,Admitted
1973,E,F,Admitted
1973,Other,M,Rejected
1973,Other,F,Rejected
1973,Other,M,Rejected
1973,A,M,Admitted
1973,C,M,Rejected
1973,Other,M,Admitted
1973,Other,F,Rejected
1973,Other,M,Admitted
1973,Other,F,Admitted
1973,Other,M,Rejected
1973,E,F,Admitted
1973,A,M,Admitted
1973,Other,M,Rejected
1973,Other,F,Rejected
1973,Other,M,Admitted
1973,E,F,Admitted
1973,A,M,Admitted
1973,Other,M,Admitted
1973,C,F,Rejected
1973,Other,M,Admitted
1973,Other,M,Admitted
1973,F,M,Rejected
1973,Other,M,Rejected
1973,F,F,Rejected
1973,F,F,Rejected
1973,A,M,Rejected
1973,D,F,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,Other,F,Rejected
1973,C,F,Rejected
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,C,F,Rejected
1973,D,F,Rejected
1973,Other,M,Admitted
1973,C,F,Rejected
1973,B,M,Rejected
1973,Other,M,Admitted
1973,Other,M,Admitted
1973,Other,F,Rejected
1973,Other,F,Rejected
1973,Other,M,Admitted
1973,A,M,Admitted
1973,Other,M,Rejected
1973,Other,F,Rejected
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,A,M,Admitted
1973,Other,F,Rejected
1973,A,M,Admitted
1973,Other,M,Rejected
1973,A,M,Admitted
1973,Other,M,Admitted
1973,C,M,Admitted
1973,A,M,Admitted
1973,Other,F,Rejected
1973,Other,F,Admitted
1973,B,M,Admitted
1973,D,F,Admitted
1973,F,M,Rejected
1973,E,F,Rejected
1973,Other,M,Rejected
1973,F,M,Rejected
1973,A,M,Admitted
1973,A,F,Admitted
1973,B,M,Rejected
1973,Other,M,Admitted
1973,D,F,Rejected
1973,Other,M,Admitted
1973,C,F,Admitted
1973,D,M,Rejected
1973,Other,F,Rejected
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,Other,M,Admitted
1973,Other,F,Rejected
1973,Other,F,Rejected
1973,A,M,Admitted
1973,Other,M,Admitted
1973,A,M,Admitted
1973,Other,M,Admitted
1973,A,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,Other,F,Rejected
1973,C,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,F,F,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,A,M,Admitted
1973,Other,F,Rejected
1973,Other,M,Admitted
1973,C,M,Rejected
1973,Other,M,Rejected
1973,C,M,Rejected
1973,B,M,Rejected
1973,C,F,Rejected
1973,Other,M,Admitted
1973,Other,F,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,A,M,Admitted
1973,Other,M,Rejected
1973,Other,F,Rejected
1973,Other,M,Rejected
1973,C,F,Rejected
1973,Other,F,Rejected
1973,Other,M,Rejected
1973,B,M,Rejected
1973,Other,F,Rejected
1973,E,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,B,M,Admitted
1973,A,M,Admitted
1973,E,F,Rejected
1973,C,F,Rejected
1973,D,F,Rejected
1973,C,F,Rejected
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,Other,F,Rejected
1973,B,M,Rejected
1973,D,F,Rejected
1973,Other,F,Rejected
1973,C,F,Rejected
1973,B,M,Admitted
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,B,M,Admitted
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,F,F,Rejected
1973,Other,M,Rejected
1973,D,F,Admitted
1973,D,M,Rejected
1973,C,M,Rejected
1973,Other,M,Rejected
1973,C,F,Admitted
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,Other,F,Rejected
1973,A,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,Other,F,Rejected
1973,C,F,Rejected
1973,Other,F,Rejected
1973,Other,M,Admitted
1973,B,M,Admitted
1973,Other,M,Rejected
1973,F,M,Rejected
1973,Other,F,Rejected
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,C,F,Admitted
1973,D,F,Rejected
1973,C,F,Rejected
1973,F,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,D,M,Admitted
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,Other,F,Rejected
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,A,M,Admitted
1973,Other,F,Admitted
1973,F,M,Rejected
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,B,M,Admitted
1973,C,M,Rejected
1973,Other,M,Rejected
1973,D,M,Admitted
1973,D,M,Admitted
1973,Other,F,Admitted
1973,B,M,Admitted
1973,B,M,Admitted
1973,F,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,A,M,Admitted
1973,D,M,Rejected
1973,Other,F,Admitted
1973,D,F,Admitted
1973,Other,M,Rejected
1973,F,F,Rejected
1973,Other,F,Rejected
1973,Other,F,Rejected
1973,F,F,Rejected
1973,A,M,Rejected
1973,Other,F,Rejected
1973,Other,F,Rejected
1973,C,M,Rejected
1973,D,F,Admitted
1973,B,M,Rejected
1973,Other,F,Rejected
1973,Other,F,Rejected
1973,Other,M,Rejected
1973,F,F,Rejected
1973,Other,F,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,A,M,Rejected
1973,A,M,Admitted
1973,A,M,Admitted
1973,F,F,Rejected
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,B,M,Admitted
1973,A,M,Admitted
1973,Other,M,Admitted
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,A,M,Admitted
1973,Other,M,Admitted
1973,Other,F,Rejected
1973,F,F,Rejected
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,Other,F,Rejected
1973,Other,F,Rejected
1973,A,M,Admitted
1973,Other,M,Admitted
1973,C,F,Admitted
1973,Other,M,Admitted
1973,Other,F,Rejected
1973,C,F,Rejected
1973,E,M,Rejected
1973,E,F,Rejected
1973,C,F,Admitted
1973,D,F,Admitted
1973,Other,F,Rejected
1973,D,M,Rejected
1973,Other,F,Rejected
1973,Other,F,Rejected
1973,A,M,Admitted
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,E,M,Rejected
1973,E,F,Rejected
1973,Other,F,Rejected
1973,Other,M,Rejected
1973,Other,F,Admitted
1973,Other,M,Rejected
1973,D,M,Rejected
1973,D,M,Rejected
1973,Other,M,Rejected
1973,E,M,Rejected
1973,Other,M,Admitted
1973,E,F,Admitted
1973,D,F,Rejected
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,B,M,Admitted
1973,A,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,C,F,Admitted
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,Other,M,Admitted
1973,A,F,Admitted
1973,Other,F,Admitted
1973,Other,M,Rejected
1973,A,M,Rejected
1973,Other,M,Admitted
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,Other,F,Rejected
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,Other,M,Admitted
1973,A,M,Admitted
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,D,M,Admitted
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,Other,F,Rejected
1973,Other,F,Rejected
1973,Other,M,Rejected
1973,F,F,Rejected
1973,Other,F,Admitted
1973,Other,M,Rejected
1973,B,M,Rejected
1973,D,M,Rejected
1973,Other,M,Rejected
1973,A,M,Rejected
1973,A,M,Rejected
1973,B,M,Admitted
1973,E,M,Rejected
1973,A,M,Admitted
1973,C,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,Other,M,Admitted
1973,Other,F,Rejected
1973,C,M,Rejected
1973,Other,M,Rejected
1973,B,M,Admitted
1973,B,M,Rejected
1973,Other,M,Admitted
1973,Other,F,Rejected
1973,B,M,Admitted
1973,Other,M,Rejected
1973,Other,F,Rejected
1973,Other,M,Admitted
1973,A,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,Other,F,Rejected
1973,Other,F,Rejected
1973,B,M,Rejected
1973,Other,F,Rejected
1973,Other,F,Rejected
1973,Other,F,Admitted
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,F,F,Rejected
1973,A,M,Admitted
1973,A,M,Rejected
1973,F,F,Rejected
1973,F,M,Rejected
1973,A,M,Admitted
1973,F,F,Rejected
1973,A,M,Admitted
1973,Other,F,Rejected
1973,Other,M,Admitted
1973,C,M,Rejected
1973,Other,F,Admitted
1973,Other,F,Rejected
1973,Other,F,Rejected
1973,A,M,Admitted
1973,Other,M,Admitted
1973,F,F,Rejected
1973,Other,F,Rejected
1973,A,M,Admitted
1973,Other,F,Rejected
1973,D,F,Admitted
1973,Other,M,Admitted
1973,Other,F,Rejected
1973,Other,F,Rejected
1973,D,F,Admitted
1973,A,M,Admitted
1973,Other,M,Admitted
1973,F,F,Rejected
1973,Other,F,Rejected
1973,D,F,Rejected
1973,B,M,Admitted
1973,C,F,Rejected
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,Other,F,Rejected
1973,Other,F,Rejected
1973,C,F,Rejected
1973,E,M,Admitted
1973,Other,F,Admitted
1973,Other,F,Rejected
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,F,F,Rejected
1973,Other,M,Rejected
1973,Other,F,Admitted
1973,Other,M,Admitted
1973,A,M,Admitted
1973,C,M,Rejected
1973,A,M,Admitted
1973,Other,F,Rejected
1973,A,M,Admitted
1973,Other,F,Admitted
1973,Other,F,Rejected
1973,Other,M,Rejected
1973,C,F,Rejected
1973,Other,M,Admitted
1973,A,M,Admitted
1973,Other,M,Rejected
1973,F,F,Rejected
1973,Other,F,Admitted
1973,B,M,Rejected
1973,Other,M,Rejected
1973,Other,F,Rejected
1973,C,F,Rejected
1973,Other,M,Admitted
1973,D,F,Admitted
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,A,M,Admitted
1973,Other,M,Admitted
1973,A,F,Admitted
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,Other,F,Admitted
1973,Other,M,Admitted
1973,Other,F,Rejected
1973,A,F,Admitted
1973,D,F,Rejected
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,C,M,Admitted
1973,Other,F,Admitted
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,D,F,Rejected
1973,Other,F,Admitted
1973,B,M,Admitted
1973,Other,M,Admitted
1973,C,M,Rejected
1973,Other,F,Rejected
1973,Other,M,Admitted
1973,F,F,Rejected
1973,A,M,Rejected
1973,Other,M,Rejected
1973,A,M,Rejected
1973,Other,F,Rejected
1973,D,F,Rejected
1973,E,F,Rejected
1973,Other,F,Admitted
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,Other,M,Admitted
1973,Other,M,Admitted
1973,F,F,Rejected
1973,Other,M,Rejected
1973,A,M,Admitted
1973,Other,M,Admitted
1973,B,M,Admitted
1973,A,M,Rejected
1973,Other,M,Rejected
1973,F,M,Rejected
1973,Other,F,Rejected
1973,D,M,Admitted
1973,Other,F,Rejected
1973,Other,M,Rejected
1973,D,M,Rejected
1973,E,M,Rejected
1973,D,M,Rejected
1973,Other,F,Rejected
1973,A,M,Admitted
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,Other,F,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,B,M,Admitted
1973,Other,M,Admitted
1973,D,M,Rejected
1973,Other,F,Admitted
1973,D,M,Rejected
1973,Other,F,Admitted
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,Other,F,Rejected
1973,D,M,Rejected
1973,Other,M,Admitted
1973,B,M,Admitted
1973,Other,M,Rejected
1973,C,M,Admitted
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,E,M,Rejected
1973,Other,M,Rejected
1973,C,F,Rejected
1973,B,M,Rejected
1973,Other,F,Rejected
1973,A,F,Admitted
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,Other,F,Admitted
1973,Other,M,Admitted
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,A,M,Admitted
1973,E,F,Rejected
1973,Other,M,Rejected
1973,Other,F,Admitted
1973,D,M,Rejected
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,D,F,Rejected
1973,Other,M,Admitted
1973,Other,F,Admitted
1973,Other,F,Admitted
1973,Other,M,Rejected
1973,C,M,Rejected
1973,Other,M,Admitted
1973,D,F,Admitted
1973,Other,M,Rejected
1973,Other,F,Admitted
1973,F,M,Rejected
1973,Other,M,Rejected
1973,A,M,Admitted
1973,Other,M,Rejected
1973,Other,F,Rejected
1973,Other,F,Rejected
1973,Other,M,Admitted
1973,Other,M,Admitted
1973,A,M,Admitted
1973,Other,M,Rejected
1973,A,M,Admitted
1973,E,F,Rejected
1973,D,M,Rejected
1973,Other,M,Rejected
1973,D,M,Admitted
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,A,M,Rejected
1973,Other,M,Rejected
1973,F,F,Rejected
1973,Other,F,Admitted
1973,Other,F,Admitted
1973,Other,M,Admitted
1973,F,F,Admitted
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,Other,F,Admitted
1973,Other,M,Admitted
1973,E,F,Rejected
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,Other,F,Rejected
1973,Other,F,Rejected
1973,C,F,Rejected
1973,Other,M,Rejected
1973,Other,F,Admitted
1973,Other,M,Admitted
1973,B,M,Admitted
1973,Other,M,Rejected
1973,C,F,Rejected
1973,B,M,Admitted
1973,Other,M,Rejected
1973,Other,F,Admitted
1973,A,M,Rejected
1973,Other,M,Admitted
1973,Other,F,Rejected
1973,Other,M,Rejected
1973,A,F,Admitted
1973,Other,M,Rejected
1973,Other,F,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,D,M,Rejected
1973,Other,F,Rejected
1973,Other,F,Admitted
1973,F,M,Rejected
1973,Other,M,Admitted
1973,C,F,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,Other,F,Admitted
1973,Other,M,Admitted
1973,E,F,Rejected
1973,Other,M,Admitted
1973,D,M,Admitted
1973,E,M,Admitted
1973,C,M,Rejected
1973,C,M,Rejected
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,B,M,Admitted
1973,Other,M,Rejected
1973,E,F,Rejected
1973,Other,M,Rejected
1973,A,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,C,M,Rejected
1973,A,M,Admitted
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,Other,M,Admitted
1973,E,F,Rejected
1973,Other,M,Admitted
1973,Other,F,Rejected
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,Other,F,Admitted
1973,Other,M,Rejected
1973,Other,F,Admitted
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,Other,F,Rejected
1973,B,M,Rejected
1973,A,M,Admitted
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,C,F,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,A,M,Rejected
1973,Other,F,Rejected
1973,Other,F,Rejected
1973,Other,F,Rejected
1973,A,M,Admitted
1973,Other,M,Admitted
1973,F,M,Rejected
1973,Other,M,Rejected
1973,Other,F,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,D,M,Rejected
1973,Other,M,Rejected
1973,F,F,Rejected
1973,Other,M,Admitted
1973,D,F,Admitted
1973,Other,M,Admitted
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,Other,F,Admitted
1973,Other,M,Admitted
1973,Other,M,Admitted
1973,A,F,Rejected
1973,Other,M,Rejected
1973,Other,F,Admitted
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,E,F,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,E,F,Admitted
1973,Other,M,Admitted
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,A,M,Admitted
1973,Other,M,Rejected
1973,Other,F,Admitted
1973,Other,M,Admitted
1973,Other,F,Admitted
1973,Other,M,Admitted
1973,C,F,Admitted
1973,E,F,Rejected
1973,Other,F,Rejected
1973,Other,M,Rejected
1973,E,M,Rejected
1973,C,M,Rejected
1973,Other,M,Rejected
1973,C,M,Rejected
1973,Other,F,Admitted
1973,C,M,Rejected
1973,Other,M,Admitted
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,F,F,Rejected
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,C,F,Rejected
1973,Other,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,Other,F,Admitted
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,C,M,Rejected
1973,Other,M,Rejected
1973,C,M,Admitted
1973,A,M,Admitted
1973,D,F,Admitted
1973,B,M,Rejected
1973,Other,M,Rejected
1973,Other,M,Admitted
1973,Other,M,Admitted
1973,Other,M,Rejected
1973,F,M,Rejected
1973,C,F,Admitted
1973,A,M,Rejected
1973,A,M,Admitted
1973,Other,M,Admitted
